Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SCCA1026_097_096_S35_L002_R1_001_trimmed_1P	SCCA1026_097_096_S35_L002_R1_001_trimmed_1P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	72879895.0	0.0	3-151	40.0	90.24382548332677	135.4296345377556	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
SCCA1026_097_096_S35_L002_R1_001_trimmed_1U	SCCA1026_097_096_S35_L002_R1_001_trimmed_1U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6419269.0	0.0	3-151	41.0	91.34650901679385	90.82003558349089	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
SCCA1026_097_096_S35_L002_R2_001_trimmed_2P	SCCA1026_097_096_S35_L002_R2_001_trimmed_2P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	72879895.0	0.0	3-151	40.0	89.28173105922332	128.16983380670348	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
SCCA1026_097_096_S35_L002_R2_001_trimmed_2U	SCCA1026_097_096_S35_L002_R2_001_trimmed_2U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	804505.0	0.0	3-151	41.0	80.55760780162751	57.27829783531488	pass	pass	pass	pass	warn	pass	pass	warn	pass	warn	pass
SCCA1033_121_072_S33_L002_R1_001_trimmed_1P	SCCA1033_121_072_S33_L002_R1_001_trimmed_1P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	104474253.0	0.0	3-151	39.0	90.32710658942683	135.9866075137192	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
SCCA1033_121_072_S33_L002_R1_001_trimmed_1U	SCCA1033_121_072_S33_L002_R1_001_trimmed_1U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9517488.0	0.0	3-151	41.0	91.87216743652326	91.09474789986602	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
SCCA1033_121_072_S33_L002_R2_001_trimmed_2P	SCCA1033_121_072_S33_L002_R2_001_trimmed_2P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	104474253.0	0.0	3-151	39.0	89.62608323378514	130.85028333248766	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
SCCA1033_121_072_S33_L002_R2_001_trimmed_2U	SCCA1033_121_072_S33_L002_R2_001_trimmed_2U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1135719.0	0.0	3-151	40.0	81.45210081353329	60.64127130038328	pass	pass	pass	pass	warn	pass	pass	warn	pass	warn	pass
SCCA1034_133_060_S32_L002_R1_001_trimmed_1P	SCCA1034_133_060_S32_L002_R1_001_trimmed_1P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	93806785.0	0.0	3-151	40.0	90.06383796017785	135.94935860982764	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
SCCA1034_133_060_S32_L002_R1_001_trimmed_1U	SCCA1034_133_060_S32_L002_R1_001_trimmed_1U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8814965.0	0.0	3-151	41.0	91.40077164852408	91.8980721988119	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
SCCA1034_133_060_S32_L002_R2_001_trimmed_2P	SCCA1034_133_060_S32_L002_R2_001_trimmed_2P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	93806785.0	0.0	3-151	40.0	89.12219492346922	128.84550106903248	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
SCCA1034_133_060_S32_L002_R2_001_trimmed_2U	SCCA1034_133_060_S32_L002_R2_001_trimmed_2U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1026283.0	0.0	3-151	41.0	80.39231711446976	57.98473423022695	pass	pass	pass	pass	warn	pass	pass	warn	pass	warn	pass
SCCA1040_169_024_S29_L002_R1_001_trimmed_1P	SCCA1040_169_024_S29_L002_R1_001_trimmed_1P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	90126821.0	0.0	3-151	40.0	90.25520710102171	134.91998763608893	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
SCCA1040_169_024_S29_L002_R1_001_trimmed_1U	SCCA1040_169_024_S29_L002_R1_001_trimmed_1U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8002432.0	0.0	3-151	41.0	91.3703936761902	91.72941988135607	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
SCCA1040_169_024_S29_L002_R2_001_trimmed_2P	SCCA1040_169_024_S29_L002_R2_001_trimmed_2P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	90126821.0	0.0	3-151	40.0	89.12580977150093	127.69126704247118	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
SCCA1040_169_024_S29_L002_R2_001_trimmed_2U	SCCA1040_169_024_S29_L002_R2_001_trimmed_2U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1072744.0	0.0	3-151	41.0	79.62138192678852	57.55703411065455	pass	pass	pass	pass	warn	pass	pass	warn	pass	warn	pass
SQT017_165_028_S37_L001_R1_001_trimmed_1P	SQT017_165_028_S37_L001_R1_001_trimmed_1P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36760155.0	0.0	3-151	40.0	90.44595787685388	130.86110877388847	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
SQT017_165_028_S37_L001_R1_001_trimmed_1U	SQT017_165_028_S37_L001_R1_001_trimmed_1U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6699351.0	0.0	3-151	41.0	90.3315865017688	90.13133824455534	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
SQT017_165_028_S37_L001_R2_001_trimmed_2P	SQT017_165_028_S37_L001_R2_001_trimmed_2P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36760155.0	0.0	3-151	40.0	88.64523578745415	116.1813890882669	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
SQT017_165_028_S37_L001_R2_001_trimmed_2U	SQT017_165_028_S37_L001_R2_001_trimmed_2U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	633322.0	0.0	3-151	41.0	73.52654182304119	38.99648835821272	pass	pass	fail	pass	warn	pass	pass	warn	pass	warn	pass
SQT019_189_004_S35_L001_R1_001_trimmed_1P	SQT019_189_004_S35_L001_R1_001_trimmed_1P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38936626.0	0.0	3-151	39.0	90.10683584518117	133.3623598511078	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
SQT019_189_004_S35_L001_R1_001_trimmed_1U	SQT019_189_004_S35_L001_R1_001_trimmed_1U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9521485.0	0.0	3-151	40.0	90.57486381027047	92.6179369079508	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
SQT019_189_004_S35_L001_R2_001_trimmed_2P	SQT019_189_004_S35_L001_R2_001_trimmed_2P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38936626.0	0.0	3-151	39.0	88.76225313134135	120.0281801253144	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
SQT019_189_004_S35_L001_R2_001_trimmed_2U	SQT019_189_004_S35_L001_R2_001_trimmed_2U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	522600.0	0.0	3-151	40.0	76.6519799830197	42.1502736318408	pass	pass	fail	pass	warn	pass	pass	warn	pass	warn	pass
SQT031_106_087_S34_L001_R1_001_trimmed_1P	SQT031_106_087_S34_L001_R1_001_trimmed_1P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38104090.0	0.0	3-151	40.0	90.24107858818572	131.76841037274477	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
SQT031_106_087_S34_L001_R1_001_trimmed_1U	SQT031_106_087_S34_L001_R1_001_trimmed_1U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16746510.0	0.0	3-151	41.0	90.51895198365388	91.22012526789163	pass	pass	warn	pass	warn	warn	pass	warn	pass	pass	pass
SQT031_106_087_S34_L001_R2_001_trimmed_2P	SQT031_106_087_S34_L001_R2_001_trimmed_2P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38104090.0	0.0	3-151	40.0	89.08453221036015	120.24798054487064	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
SQT031_106_087_S34_L001_R2_001_trimmed_2U	SQT031_106_087_S34_L001_R2_001_trimmed_2U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	587500.0	0.0	3-151	41.0	76.59046954931115	44.034098723404256	pass	pass	fail	pass	warn	pass	pass	warn	pass	warn	pass
SQT034_130_063_S32_L001_R1_001_trimmed_1P	SQT034_130_063_S32_L001_R1_001_trimmed_1P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36999343.0	0.0	3-151	40.0	90.29740325518075	132.67214574593933	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
SQT034_130_063_S32_L001_R1_001_trimmed_1U	SQT034_130_063_S32_L001_R1_001_trimmed_1U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7715067.0	0.0	3-151	41.0	90.35914572739055	92.06452076177692	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
SQT034_130_063_S32_L001_R2_001_trimmed_2P	SQT034_130_063_S32_L001_R2_001_trimmed_2P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36999343.0	0.0	3-151	40.0	88.7780162309365	117.95902927249276	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
SQT034_130_063_S32_L001_R2_001_trimmed_2U	SQT034_130_063_S32_L001_R2_001_trimmed_2U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	534768.0	0.0	3-151	41.0	75.13092580354858	40.08384009514406	pass	pass	fail	pass	warn	pass	pass	warn	pass	warn	pass
SQT047_118_075_S33_L001_R1_001_trimmed_1P	SQT047_118_075_S33_L001_R1_001_trimmed_1P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37519120.0	0.0	3-151	39.0	90.24734002574273	131.98626780159023	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
SQT047_118_075_S33_L001_R1_001_trimmed_1U	SQT047_118_075_S33_L001_R1_001_trimmed_1U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5746086.0	0.0	3-151	40.0	89.97194570910676	88.30872440823197	pass	pass	warn	pass	warn	pass	pass	warn	pass	pass	pass
SQT047_118_075_S33_L001_R2_001_trimmed_2P	SQT047_118_075_S33_L001_R2_001_trimmed_2P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37519120.0	0.0	3-151	40.0	88.51247282024649	117.14285284409655	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
SQT047_118_075_S33_L001_R2_001_trimmed_2U	SQT047_118_075_S33_L001_R2_001_trimmed_2U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	598609.0	0.0	3-151	41.0	72.93232796139127	38.05783741975146	pass	pass	fail	pass	warn	pass	pass	warn	pass	warn	pass
SQT056_177_016_S36_L001_R1_001_trimmed_1P	SQT056_177_016_S36_L001_R1_001_trimmed_1P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36930915.0	0.0	3-151	39.0	90.53987326060654	132.40056318669602	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
SQT056_177_016_S36_L001_R1_001_trimmed_1U	SQT056_177_016_S36_L001_R1_001_trimmed_1U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7991107.0	0.0	3-151	41.0	90.81713162708319	91.82604750505782	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
SQT056_177_016_S36_L001_R2_001_trimmed_2P	SQT056_177_016_S36_L001_R2_001_trimmed_2P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36930915.0	0.0	3-151	40.0	88.9407650709575	118.37257831277671	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
SQT056_177_016_S36_L001_R2_001_trimmed_2U	SQT056_177_016_S36_L001_R2_001_trimmed_2U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	543768.0	0.0	3-151	40.0	74.71571476318444	40.02283142810904	pass	pass	fail	pass	warn	pass	pass	warn	pass	warn	pass
SQT096_153_040_S38_L001_R1_001_trimmed_1P	SQT096_153_040_S38_L001_R1_001_trimmed_1P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39410403.0	0.0	3-151	40.0	89.86641233922633	131.29181825418024	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
