Sample	Picard_mqc-generalstats-picard-PERCENT_DUPLICATION	QualiMap_mqc-generalstats-qualimap-mean_coverage	QualiMap_mqc-generalstats-qualimap-percentage_aligned	QualiMap_mqc-generalstats-qualimap-mapped_reads	QualiMap_mqc-generalstats-qualimap-total_reads	QualiMap_mqc-generalstats-qualimap-general_error_rate	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed	QualiMap_mqc-generalstats-qualimap-avg_gc	QualiMap_mqc-generalstats-qualimap-median_insert_size	QualiMap_mqc-generalstats-qualimap-1_x_pc	QualiMap_mqc-generalstats-qualimap-5_x_pc	QualiMap_mqc-generalstats-qualimap-10_x_pc	QualiMap_mqc-generalstats-qualimap-30_x_pc	QualiMap_mqc-generalstats-qualimap-50_x_pc	QualiMap_mqc-generalstats-qualimap-median_coverage
scca0548_merged_dedup_qualimap									40.75153452230041	232	85.42463841021245	18.104771422261678	4.137542375422949	0.5232854406534858	0.14630009934356447	2
scca0549_merged	0.138189															
scca0549_merged_dedup		3.3836	93.85964785373648	73959362.0	78797826.0	1.0999999999999999										
scca0549_merged_dedup_flagstats							78797826	73959362								
scca0549_merged_dedup_qualimap									40.67587579043166	219	85.92656515996875	19.179346024711705	4.325353774549447	0.5822215282479275	0.1611581445919056	2
scca0550_merged	0.13869															
scca0550_merged_dedup		2.9877	94.19647968782172	65295437.0	69318341.0	1.08										
scca0550_merged_dedup_flagstats							69318341	65295437								
scca0550_merged_dedup_qualimap									40.62581629487157	218	82.57508183388633	15.748357364677247	3.655713961572261	0.42648791119022994	0.11404006945992391	2
scca0551_merged	0.147505															
scca0551_merged_dedup		3.0516	94.39808270625637	67354751.0	71351821.0	1.13										
scca0551_merged_dedup_flagstats							71351821	67354751								
scca0551_merged_dedup_qualimap									40.7328996352162	206	81.62104450120536	16.11406593152949	3.9272083288815636	0.5297813622798472	0.1473495782336605	2
scca0554_merged	0.111303															
scca0554_merged_dedup		2.7957	93.62133028626658	62177704.0	66414036.0	1.06										
scca0554_merged_dedup_flagstats							66414036	62177704								
scca0554_merged_dedup_qualimap									40.47411358044697	225	81.84191535558455	13.934366366657994	3.1630059463423477	0.3561369513980789	0.10118149336784822	2
scca0561_merged	0.051752															
scca0561_merged_dedup		3.442	94.81409964288463	77605625.0	81850300.0	1.02										
scca0561_merged_dedup_flagstats							81850300	77605625								
scca0561_merged_dedup_qualimap									41.97122540187546	213	86.78316619010089	22.465785457315434	4.100646232494674	0.4995259518025504	0.15508109813225832	2
scca0583_merged	0.06753															
scca0583_merged_dedup		4.158	94.5047190664867	89909790.0	95137884.0	1.1199999999999999										
scca0583_merged_dedup_flagstats							95137884	89909790								
scca0583_merged_dedup_qualimap									40.36451761683763	230	90.34575173140361	26.066603755758138	5.749312533608667	1.0009221192438835	0.3100478607127781	3
scca0586_merged	0.059362															
scca0586_merged_dedup		3.7485	94.65908906379018	84698966.0	89477901.0	1.08										
scca0586_merged_dedup_flagstats							89477901	84698966								
scca0586_merged_dedup_qualimap									41.161775410241866	223	88.95150071588405	23.411139255250568	5.02251119610023	0.7384211896592634	0.22662062908558595	3
scca0587_merged	0.061133															
scca0587_merged_dedup		4.1542	94.41322469594073	90736786.0	96106013.0	1.08										
scca0587_merged_dedup_flagstats							96106013	90736786								
scca0587_merged_dedup_qualimap									40.55423310592945	244	91.57391151521144	26.716434783441013	5.641436070328672	0.9351679174819744	0.25906823462897527	3
scca1001_merged	0.09009															
scca1001_merged_dedup		2.8652	90.39528376969481	61886082.0	68461627.0	1.09										
scca1001_merged_dedup_flagstats							68461627	61886082								
scca1001_merged_dedup_qualimap									40.72152703766303	251	82.81924929395079	14.197072240676764	3.378609444612134	0.38750641424576393	0.10495822502872444	2
scca1025_merged	0.089017															
scca1025_merged_dedup		2.7817	90.9349884173032	60141295.0	66136584.0	1.09										
scca1025_merged_dedup_flagstats							66136584	60141295								
scca1025_merged_dedup_qualimap									40.74028015627185	233	81.23706224325284	13.735675437190201	3.238334107810181	0.3507436095160692	0.09798528368821306	2
scca1029_merged	0.087334															
scca1029_merged_dedup		2.8638	90.91759358097498	63318057.0	69643349.0	1.1400000000000001										
scca1029_merged_dedup_flagstats							69643349	63318057								
scca1029_merged_dedup_qualimap									40.97354319163259	223	80.53782227368418	14.183748295091405	3.6129669924791585	0.4527346156393301	0.12673607524435518	2
scca1039_merged	0.081895															
scca1039_merged_dedup		2.5233	90.89478279946903	54108628.0	59528860.0	1.11										
scca1039_merged_dedup_flagstats							59528860	54108628								
scca1039_merged_dedup_qualimap									40.71791595702193	250	78.59480383640125	11.599351420554123	2.950133323777879	0.3367947077229316	0.09273607777046404	2
scca1046_merged	0.090435															
scca1046_merged_dedup		3.015	91.34015199491184	66743642.0	73071525.0	1.0699999999999998										
scca1046_merged_dedup_flagstats							73071525	66743642								
scca1046_merged_dedup_qualimap									40.70969201383301	210	83.0172087458316	16.236641954431278	3.5346552023435436	0.4330102234083719	0.12422552368549077	2
