Sample	QualiMap_mqc-generalstats-qualimap-mean_coverage	QualiMap_mqc-generalstats-qualimap-percentage_aligned	QualiMap_mqc-generalstats-qualimap-mapped_reads	QualiMap_mqc-generalstats-qualimap-total_reads	QualiMap_mqc-generalstats-qualimap-general_error_rate	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed	QualiMap_mqc-generalstats-qualimap-avg_gc	QualiMap_mqc-generalstats-qualimap-median_insert_size	QualiMap_mqc-generalstats-qualimap-1_x_pc	QualiMap_mqc-generalstats-qualimap-5_x_pc	QualiMap_mqc-generalstats-qualimap-10_x_pc	QualiMap_mqc-generalstats-qualimap-30_x_pc	QualiMap_mqc-generalstats-qualimap-50_x_pc	QualiMap_mqc-generalstats-qualimap-median_coverage
SCCA1026_merged_qualimap								40.81329865986697	309	97.93837823306995	55.86525944932637	11.96246139705898	2.4137275230267776	1.0948964114544923	5
SCCA1033_merged	10.5048	94.65489506450253	207863771.0	219601713.0	1.37										
SCCA1033_merged_flagstats						221584285	209846343								
SCCA1033_merged_qualimap								40.20387306046177	303	99.15981768687185	80.51925834694684	30.39871484110779	3.616976136079419	1.9401571038514736	7
SCCA1034_merged	9.3668	94.3392371413292	186277369.0	197454818.0	1.38										
SCCA1034_merged_flagstats						199014159	187836710								
SCCA1034_merged_qualimap								40.6162405825972	298	98.91343330019944	74.96524280173269	22.779863090186502	3.1315984315011556	1.5581772477097064	7
SCCA1040_merged	8.9098	93.88670508680829	177754589.0	189328818.0	1.46										
SCCA1040_merged_flagstats						191060968	179486739								
SCCA1040_merged_qualimap								40.49865379125882	296	98.6500178924757	68.66911295932972	18.87430156620057	3.2535132483523204	1.6409382979062954	6
SQT017_merged	9.6595	91.37390520830286	203353029.0	222550441.0	1.3599999999999999										
SQT017_merged_flagstats						224078700	204881288								
SQT017_merged_qualimap								40.736214392716064	246	98.8343694848931	75.5471828711865	25.52241446942465	3.288306212717609	1.7094926843135991	7
SQT019_merged	10.9991	92.48980181080795	230217384.0	248911101.0	1.34										
SQT019_merged_flagstats						251153496	232459779								
SQT019_merged_qualimap								40.47494289514289	237	99.09864032156469	82.29720734277585	33.99244120209681	3.806303042255421	2.0163280240708095	8
SQT031_merged	11.078	91.90766672630934	237859239.0	258802391.0	1.4200000000000002										
SQT031_merged_flagstats						260454332	239511180								
SQT031_merged_qualimap								40.91820175658106	224	99.03797931889986	80.00338999763936	32.948265073091505	3.9632212427273243	2.1443939813246553	8
SQT034_merged	11.2681	91.80511676391959	236261689.0	257351330.0	1.43										
SQT034_merged_flagstats						258669889	237580248								
SQT034_merged_qualimap								40.94155174637172	246	99.08168963098456	80.91113511676566	33.37263875317231	4.097337012348154	2.264124423020291	8
SQT047_merged	9.5031	91.47975911124482	197614314.0	216019714.0	1.41										
SQT047_merged_flagstats						217723864	199318464								
SQT047_merged_qualimap								40.488576818529	253	98.69957547175862	72.74436533961159	23.712988904491368	3.303608705387657	1.7086712655054306	7
