Sample	total_passed	total_failed	secondary_passed	secondary_failed	supplementary_passed	supplementary_failed	duplicates_passed	duplicates_failed	mapped_passed	mapped_failed	mapped_passed_pct	mapped_failed_pct	paired in sequencing_passed	paired in sequencing_failed	read1_passed	read1_failed	read2_passed	read2_failed	properly paired_passed	properly paired_failed	properly paired_passed_pct	properly paired_failed_pct	with itself and mate mapped_passed	with itself and mate mapped_failed	singletons_passed	singletons_failed	singletons_passed_pct	singletons_failed_pct	with mate mapped to a different chr_passed	with mate mapped to a different chr_failed	with mate mapped to a different chr (mapQ >= 5)_passed	with mate mapped to a different chr (mapQ >= 5)_failed	flagstat_total
scca0201_paired_flagstats	86086808	0	0	0	4474042	0	0	0	82240426	0	95.53	nan	81612766	0	40806383	0	40806383	0	60201150	0	73.76	nan	75427836	0	2338548	0	2.87	nan	14389008	0	11260952	0	86086808
scca0201_unpaired_flagstats	11347047	0	0	0	100193	0	0	0	10159925	0	89.54	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	11347047
scca0207_paired_flagstats	79156062	0	0	0	1632624	0	0	0	75472343	0	95.35	nan	77523438	0	38761719	0	38761719	0	65628946	0	84.66	nan	71665632	0	2174087	0	2.8	nan	5473424	0	4110912	0	79156062
scca0207_unpaired_flagstats	10362385	0	0	0	51838	0	0	0	9256678	0	89.33	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	10362385
scca0506_paired_flagstats	66860186	0	0	0	798884	0	0	0	62042037	0	92.79	nan	66061302	0	33030651	0	33030651	0	56184382	0	85.05	nan	58687944	0	2555209	0	3.87	nan	2118512	0	1462525	0	66860186
scca0506_unpaired_flagstats	12357514	0	0	0	51468	0	0	0	10568481	0	85.52	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	12357514
scca0507_paired_flagstats	70974921	0	0	0	1540055	0	0	0	66094694	0	93.12	nan	69434866	0	34717433	0	34717433	0	57398486	0	82.67	nan	62014176	0	2540463	0	3.66	nan	4127024	0	3063041	0	70974921
scca0507_unpaired_flagstats	12063420	0	0	0	70685	0	0	0	10351242	0	85.81	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	12063420
scca0509_paired_flagstats	74042323	0	0	0	819989	0	0	0	68470858	0	92.48	nan	73222334	0	36611167	0	36611167	0	62180016	0	84.92	nan	64841572	0	2809297	0	3.84	nan	2247112	0	1545872	0	74042323
scca0509_unpaired_flagstats	11164116	0	0	0	41834	0	0	0	9287343	0	83.19	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	11164116
scca0539_paired_flagstats	61085053	0	0	0	491863	0	0	0	56571047	0	92.61	nan	60593190	0	30296595	0	30296595	0	51851680	0	85.57	nan	53693344	0	2385840	0	3.94	nan	1564492	0	1048992	0	61085053
scca0539_unpaired_flagstats	6058172	0	0	0	19978	0	0	0	4861760	0	80.25	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	6058172
scca0540_paired_flagstats	57897767	0	0	0	393409	0	0	0	53829170	0	92.97	nan	57504358	0	28752179	0	28752179	0	49702382	0	86.43	nan	51245700	0	2190061	0	3.81	nan	1289372	0	834382	0	57897767
scca0540_unpaired_flagstats	6348016	0	0	0	19406	0	0	0	5231258	0	82.41	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	6348016
scca0548_paired_flagstats	75061918	0	0	0	725600	0	0	0	71570436	0	95.35	nan	74336318	0	37168159	0	37168159	0	66264736	0	89.14	nan	68728572	0	2116264	0	2.85	nan	2030708	0	1372054	0	75061918
scca0548_unpaired_flagstats	10312298	0	0	0	41227	0	0	0	9282639	0	90.02	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	10312298
scca0549_paired_flagstats	79152644	0	0	0	2385654	0	0	0	75375218	0	95.23	nan	76766990	0	38383495	0	38383495	0	63956704	0	83.31	nan	70629410	0	2360154	0	3.07	nan	6013620	0	4521195	0	79152644
scca0549_unpaired_flagstats	11108463	0	0	0	83218	0	0	0	10047425	0	90.45	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	11108463
scca0550_paired_flagstats	70280793	0	0	0	2484427	0	0	0	67165256	0	95.57	nan	67796366	0	33898183	0	33898183	0	55998188	0	82.6	nan	62791618	0	1889211	0	2.79	nan	6237730	0	4756765	0	70280793
scca0550_unpaired_flagstats	9139751	0	0	0	73065	0	0	0	8232384	0	90.07	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	9139751
